account_id,in_degree,out_degree,in_strength,out_strength,tx_sent,tx_received,in_out_ratio,strength_ratio,pagerank,betweenness_centrality,clustering_coefficient
A641,146,93,72283.0,36849.92,93,146,1.5532,1.9616,0.00069461,0.00105035,0.093979
A41,144,82,77442.01,30508.46,82,144,1.7349,2.5384,0.00068904,0.00067258,0.099565
A1363,141,94,71559.54,37727.05,94,141,1.4842,1.8968,0.00066201,0.0006207,0.096164
A635,138,120,74584.42,51976.24,120,138,1.1405,1.435,0.00065259,0.00026481,0.096997
A929,137,92,72411.6,41292.33,92,137,1.4731,1.7536,0.00065073,0.00083217,0.094358
A1905,134,102,59214.2,47116.27,102,134,1.301,1.2568,0.00065007,0.00144399,0.099419
A1924,133,104,66364.06,44033.06,104,133,1.2667,1.5071,0.00064526,0.000913,0.098895
A1275,135,123,48592.75,50998.82,123,135,1.0887,0.9528,0.00064124,0.00128164,0.09758
A1480,136,102,70085.93,38423.42,102,136,1.3204,1.824,0.00063933,0.00100717,0.0972
A1823,131,120,61428.82,57432.99,120,131,1.0826,1.0696,0.00063708,0.00079308,0.09825
A1169,131,89,66729.09,33264.91,89,131,1.4556,2.006,0.00063617,0.00027524,0.09495
A1023,132,101,69386.24,41004.02,101,132,1.2941,1.6922,0.0006349,0.00061301,0.09716
A643,133,94,66352.79,35573.27,94,133,1.4,1.8652,0.00063443,0.00094623,0.094295
A1477,130,90,54411.67,36829.55,90,130,1.4286,1.4774,0.00063115,0.00084027,0.09403
A118,139,107,60632.56,42455.67,107,139,1.287,1.4281,0.0006311,0.00061564,0.095302
A1216,129,91,66483.38,40445.54,91,129,1.4022,1.6438,0.00062909,0.00064651,0.097015
A664,135,84,65734.76,32625.0,84,135,1.5882,2.0149,0.00062881,0.00054131,0.092779
A1243,132,102,67358.01,45050.63,102,132,1.2816,1.4952,0.00062878,0.00031794,0.096222
A511,131,116,51941.94,44677.2,116,131,1.1197,1.1626,0.00062704,0.00069037,0.092215
A1246,127,90,47256.26,31901.14,90,127,1.3956,1.4813,0.00062062,0.00035685,0.097648
A411,127,89,51949.74,38018.46,89,127,1.4111,1.3664,0.00061634,0.00018989,0.093878
A588,129,97,54578.92,37398.06,97,129,1.3163,1.4594,0.00061596,0.0004565,0.094067
A184,127,88,46128.98,33019.95,88,127,1.427,1.397,0.00061355,0.00081244,0.095365
A1051,125,93,58382.96,35993.92,93,125,1.3298,1.622,0.00061349,0.00035113,0.095466
A1752,125,90,65076.54,35343.39,90,125,1.3736,1.8413,0.00061057,0.00024349,0.097718
A419,119,93,48272.89,39562.99,93,119,1.266,1.2202,0.00060898,0.00047438,0.090242
A1724,131,107,67016.53,51201.89,107,131,1.213,1.3089,0.00060781,0.00127683,0.094257
A44,124,93,65971.46,40799.15,93,124,1.3191,1.617,0.00060559,0.000389,0.0962
A1229,126,117,50832.2,46947.39,117,126,1.0678,1.0827,0.00060493,0.00024233,0.095652
A9,124,110,50794.34,42305.42,110,124,1.1171,1.2007,0.00060468,0.00068682,0.09349
A899,125,104,49913.66,43779.46,104,125,1.1905,1.1401,0.00060455,0.00071701,0.09473
A420,123,98,51574.56,35207.7,98,123,1.2424,1.4649,0.00060349,0.00091797,0.098792
A510,123,94,49196.49,39984.81,94,123,1.2947,1.2304,0.00060185,0.00027267,0.094296
A989,124,108,53008.06,40610.97,108,124,1.1376,1.3053,0.00060109,0.0003386,0.096686
A255,123,91,46116.44,37922.14,91,123,1.337,1.2161,0.00060098,0.00039278,0.093209
A617,123,116,75419.54,76453.3,116,123,1.0513,0.9865,0.00060078,0.00060608,0.092956
A1667,124,92,61294.2,44660.52,92,124,1.3333,1.3724,0.00060032,0.00035641,0.09363
A1136,122,102,45322.06,39717.7,102,122,1.1845,1.1411,0.00059954,0.00062131,0.094746
A1370,125,112,51850.74,47569.5,112,125,1.1062,1.09,0.00059771,0.00032848,0.091419
A160,124,115,48964.01,45805.72,115,124,1.069,1.0689,0.00059697,0.00099086,0.094928
A72,121,93,50193.89,40324.57,93,121,1.2872,1.2447,0.00059649,0.00070914,0.094328
A847,124,98,49255.27,37982.47,98,124,1.2525,1.2968,0.00059633,0.0006697,0.092914
A711,124,104,54031.93,44108.66,104,124,1.181,1.225,0.00059539,0.00073367,0.092124
A1115,123,100,47084.3,47090.04,100,123,1.2178,0.9999,0.0005951,0.00068204,0.094384
A1886,125,87,50727.56,34033.27,87,125,1.4205,1.4905,0.00059485,0.00066928,0.097186
A373,123,99,44380.73,40385.15,99,123,1.23,1.0989,0.00059406,0.0005125,0.095849
A1377,126,91,51695.53,37496.88,91,126,1.3696,1.3787,0.00059365,0.00042937,0.096093
