sender_account,receiver_account,amount,type,merchant_category,device,country,is_suspicious,pattern,transaction_id,timestamp,hour,day,is_high_risk_country,log_amount
ACCT100352,ACCT200053,4.37,withdrawal,electronics,atm,NG,True,normal,TXN000001,2025-03-06T21:43:00,21,Thursday,True,1.4747630091074988
ACCT100168,ACCT200111,70.87,transfer,travel,mobile_app,KY,True,normal,TXN000002,2025-03-13T02:56:00,2,Thursday,True,4.260847212822164
ACCT100432,ACCT200354,143.92,withdrawal,crypto_exchange,web,IN,True,layering,TXN000003,2025-02-14T19:49:00,19,Friday,False,4.969257589642278
ACCT100438,ACCT200158,17.09,payment,gambling,atm,UK,False,normal,TXN000004,2025-03-20T00:32:00,0,Thursday,False,2.8384934971274993
ACCT100191,ACCT200189,12.83,transfer,electronics,atm,NG,True,rapid_movement,TXN000005,2025-03-15T22:28:00,22,Saturday,True,2.551786178627545
ACCT100234,ACCT200326,75.5,deposit,online_services,pos_terminal,KY,True,layering,TXN000006,2025-03-03T15:38:00,15,Monday,True,4.324132656254979
ACCT100485,ACCT200227,20.69,deposit,travel,mobile_app,KY,True,normal,TXN000007,2025-03-20T08:04:00,8,Thursday,True,3.029650491757452
ACCT100188,ACCT200234,44.27,deposit,electronics,mobile_app,CN,False,normal,TXN000008,2025-03-19T05:18:00,5,Wednesday,False,3.7903072467440495
ACCT100427,ACCT200181,18.17,payment,restaurant,web,UK,True,layering,TXN000009,2025-03-01T07:36:00,7,Saturday,False,2.89977188240808
ACCT100168,ACCT200176,77.18,payment,gambling,web,US,False,normal,TXN000010,2025-02-20T16:38:00,16,Thursday,False,4.346140356109473
ACCT100062,ACCT200492,80.46,withdrawal,gambling,mobile_app,KY,True,normal,TXN000011,2025-03-01T04:27:00,4,Saturday,True,4.387760166521642
ACCT100288,ACCT200168,8.7,deposit,online_services,atm,IR,True,normal,TXN000012,2025-01-23T02:16:00,2,Thursday,True,2.163323025660538
ACCT100304,ACCT200455,15.27,transfer,crypto_exchange,mobile_app,CN,True,round_tripping,TXN000013,2025-03-09T06:02:00,6,Sunday,False,2.725890119230541
ACCT100376,ACCT200084,90.81,deposit,restaurant,pos_terminal,US,False,normal,TXN000014,2025-02-21T22:50:00,22,Friday,False,4.508769411701737
ACCT100358,ACCT200232,62.88,withdrawal,electronics,web,NG,True,normal,TXN000015,2025-03-30T11:30:00,11,Sunday,True,4.141228148120951
ACCT100058,ACCT200038,86.01,withdrawal,travel,web,US,True,layering,TXN000016,2025-01-15T14:47:00,14,Wednesday,False,4.454463568563388
ACCT100338,ACCT200216,32.28,withdrawal,electronics,pos_terminal,NG,True,normal,TXN000017,2025-01-05T17:00:00,17,Sunday,True,3.474447843401748
ACCT100176,ACCT200211,54.03,payment,online_services,web,KY,True,normal,TXN000018,2025-02-06T10:35:00,10,Thursday,True,3.9895394478559743
ACCT100196,ACCT200042,8.18,deposit,travel,atm,UK,False,normal,TXN000019,2025-03-11T20:42:00,20,Tuesday,False,2.1016921506146558
ACCT100083,ACCT200470,74.51,withdrawal,electronics,atm,UK,False,normal,TXN000020,2025-01-20T16:10:00,16,Monday,False,4.310933344565636
ACCT100130,ACCT200270,9.04,payment,electronics,web,RU,True,normal,TXN000021,2025-02-19T05:53:00,5,Wednesday,True,2.201659174404085
ACCT100168,ACCT200040,30.7,payment,restaurant,web,SG,False,normal,TXN000022,2025-03-01T11:00:00,11,Saturday,False,3.4242626545931514
ACCT100192,ACCT200221,22.94,withdrawal,retail,mobile_app,KY,True,normal,TXN000023,2025-01-27T04:44:00,4,Monday,True,3.1328821117012247
ACCT100022,ACCT200416,73.94,withdrawal,atm,atm,IR,True,normal,TXN000024,2025-01-14T10:23:00,10,Tuesday,True,4.303253953508486
